"Age","DistanceFromHome","DepartmentType","JobRole","JobLevel","JobInvolvement","JobSatisfaction","BusinessTravel","JobStockOptionLevel","WorkEnvironmentSatisfaction","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsWithCurrManager","Attrition"
"50","3","Sales","Sales Representative","1","2","3","Travel_Rarely","0","1","3","3","2","2","Yes"
"35","7","Sales","Sales Representative","1","3","4","Travel_Rarely","0","4","3","2","2","2","No"
"36","5","Research & Development","Research Scientist","1","2","1","Travel_Rarely","1","2","4","1","1","0","No"
"33","1","Sales","Sales Executive","2","4","1","Travel_Frequently","2","3","3","5","3","3","No"
"35","4","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","1","3","3","1","0","0","No"
"27","2","Research & Development","Laboratory Technician","1","3","1","Travel_Rarely","1","4","3","1","0","0","No"
"26","25","Research & Development","Laboratory Technician","1","1","3","Travel_Rarely","0","1","2","1","0","1","Yes"
"27","8","Sales","Sales Executive","3","3","3","Travel_Frequently","0","4","3","9","8","7","No"
"30","1","Research & Development","Laboratory Technician","2","3","4","Travel_Frequently","0","3","3","12","8","7","No"
"41","12","Research & Development","Research Director","5","3","3","Travel_Rarely","0","2","3","22","15","8","Yes"
"34","23","Sales","Sales Executive","2","3","3","Non-Travel","0","2","3","9","5","7","No"
"37","19","Research & Development","Research Scientist","1","3","2","Travel_Rarely","0","2","3","1","0","0","No"
"46","5","Sales","Sales Executive","2","3","3","Travel_Frequently","0","1","3","9","6","8","No"
"35","8","Research & Development","Laboratory Technician","1","4","4","Travel_Rarely","0","4","3","1","0","1","No"
"48","1","Research & Development","Laboratory Technician","3","2","3","Travel_Rarely","0","1","3","1","0","0","Yes"
"28","5","Research & Development","Laboratory Technician","1","3","3","Travel_Rarely","0","3","2","2","2","2","Yes"
"44","1","Sales","Sales Executive","2","3","1","Travel_Rarely","1","2","2","4","3","3","No"
"35","11","Research & Development","Healthcare Representative","3","2","1","Non-Travel","1","3","3","4","0","3","No"
"26","7","Sales","Sales Executive","2","2","4","Travel_Rarely","1","3","2","2","2","0","No"
"33","1","Research & Development","Research Director","3","3","4","Travel_Frequently","0","1","3","15","14","12","No"
"35","18","Sales","Sales Executive","3","3","1","Travel_Frequently","1","2","2","9","8","8","No"
"35","23","Research & Development","Laboratory Technician","1","3","1","Travel_Rarely","1","3","3","2","2","2","No"
"31","7","Research & Development","Laboratory Technician","2","3","4","Travel_Rarely","1","4","2","7","7","7","No"
"37","1","Research & Development","Manufacturing Director","2","2","3","Travel_Rarely","1","1","3","7","5","7","No"
"32","1","Research & Development","Manufacturing Director","2","3","4","Travel_Rarely","1","1","3","9","8","8","No"
"38","29","Research & Development","Laboratory Technician","2","3","3","Travel_Frequently","0","4","3","10","3","9","No"
"50","7","Research & Development","Research Director","5","2","3","Travel_Rarely","1","2","2","27","3","8","No"
"59","25","Sales","Sales Executive","3","3","1","Travel_Rarely","0","1","2","21","16","9","No"
"36","8","Research & Development","Healthcare Representative","3","3","3","Travel_Rarely","3","3","3","17","14","8","No"
"55","8","Research & Development","Manager","4","3","3","Travel_Rarely","3","4","3","5","0","2","No"
"36","11","Research & Development","Manufacturing Director","2","2","2","Travel_Frequently","0","2","3","6","5","3","No"
"45","7","Research & Development","Research Scientist","3","3","1","Travel_Rarely","1","2","3","1","0","0","No"
"35","1","Research & Development","Research Scientist","1","3","1","Travel_Frequently","1","2","3","3","2","2","No"
"36","9","Research & Development","Research Scientist","1","2","3","Travel_Rarely","1","4","2","1","0","0","Yes"
"59","1","Sales","Sales Executive","2","2","3","Travel_Frequently","0","1","2","4","3","3","No"
"29","2","Research & Development","Research Scientist","1","3","2","Travel_Rarely","1","3","3","5","4","4","No"
"31","1","Research & Development","Research Scientist","1","3","2","Travel_Rarely","0","3","3","1","1","0","No"
"32","7","Research & Development","Research Scientist","2","3","2","Travel_Rarely","2","2","3","10","4","9","No"
"36","6","Research & Development","Laboratory Technician","1","4","4","Travel_Rarely","0","2","3","1","0","0","No"
"31","8","Research & Development","Manufacturing Director","2","3","3","Travel_Rarely","0","3","3","11","7","8","No"
"35","1","Sales","Sales Executive","2","2","1","Travel_Rarely","0","3","3","15","13","8","No"
"45","6","Research & Development","Research Director","3","3","1","Travel_Rarely","0","4","4","0","0","0","No"
"37","7","Research & Development","Research Director","3","3","3","Travel_Rarely","0","1","4","5","2","2","No"
"46","7","Human Resources","Human Resources","2","3","2","Travel_Rarely","1","2","3","4","2","2","No"
"30","1","Research & Development","Laboratory Technician","2","2","4","Travel_Rarely","2","4","2","10","8","0","No"
"35","1","Research & Development","Research Scientist","1","2","3","Travel_Rarely","0","2","3","6","4","4","No"
"55","1","Sales","Sales Executive","3","3","4","Travel_Rarely","1","1","3","1","0","0","No"
"38","6","Research & Development","Research Scientist","2","1","4","Non-Travel","3","2","3","13","11","9","No"
"34","1","Research & Development","Manufacturing Director","2","3","2","Travel_Rarely","0","1","3","5","2","3","No"
"56","7","Research & Development","Manufacturing Director","3","1","4","Travel_Rarely","0","4","2","6","4","2","No"
"23","2","Sales","Sales Representative","1","3","1","Travel_Rarely","1","3","3","0","0","0","No"
"51","9","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","2","4","3","4","2","3","No"
"30","2","Research & Development","Healthcare Representative","2","2","4","Travel_Rarely","3","3","3","11","10","8","No"
"46","9","Sales","Sales Executive","3","2","4","Travel_Rarely","0","3","3","9","8","7","Yes"
"40","1","Research & Development","Healthcare Representative","4","2","3","Travel_Frequently","1","3","2","22","3","11","No"
"51","21","Sales","Sales Executive","2","3","4","Travel_Rarely","0","3","1","10","7","0","No"
"30","4","Sales","Sales Executive","2","2","2","Travel_Rarely","3","3","2","11","8","7","No"
"46","1","Research & Development","Healthcare Representative","3","2","1","Travel_Frequently","1","3","2","10","9","5","No"
"32","6","Sales","Sales Executive","2","3","3","Travel_Rarely","0","2","3","11","8","7","No"
"54","2","Research & Development","Research Director","3","3","3","Travel_Rarely","1","1","1","4","3","3","No"
"24","7","Sales","Sales Executive","2","3","3","Travel_Rarely","1","1","2","3","2","2","No"
"28","4","Sales","Sales Executive","2","3","3","Non-Travel","0","2","4","5","4","4","No"
"58","10","Sales","Sales Executive","4","3","3","Travel_Rarely","0","4","2","37","10","8","No"
"44","23","Research & Development","Laboratory Technician","2","3","2","Non-Travel","1","2","4","3","2","2","No"
"37","6","Human Resources","Human Resources","1","3","1","Travel_Rarely","0","3","3","3","2","2","Yes"
"32","1","Research & Development","Research Scientist","1","3","1","Travel_Rarely","0","4","3","1","0","0","No"
"20","6","Research & Development","Laboratory Technician","1","2","4","Travel_Frequently","0","4","3","1","0","0","Yes"
"34","6","Research & Development","Research Scientist","2","3","3","Travel_Rarely","0","1","3","16","13","10","No"
"37","2","Research & Development","Healthcare Representative","2","2","4","Non-Travel","1","3","4","1","0","0","No"
"59","2","Human Resources","Manager","5","2","3","Non-Travel","1","3","3","3","2","2","No"
"50","1","Research & Development","Research Director","5","3","2","Travel_Frequently","0","1","3","8","3","7","No"
"25","5","Sales","Sales Executive","2","2","3","Travel_Rarely","0","3","3","6","4","3","Yes"
"25","7","Research & Development","Research Scientist","1","2","4","Travel_Rarely","2","4","3","2","2","1","No"
"22","15","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","0","2","3","0","0","0","No"
"51","7","Research & Development","Healthcare Representative","3","2","1","Travel_Frequently","0","1","2","13","12","8","No"
"34","7","Research & Development","Laboratory Technician","2","1","3","Travel_Frequently","0","1","3","9","7","6","Yes"
"54","26","Human Resources","Manager","4","4","4","Non-Travel","0","4","3","5","3","4","No"
"24","7","Research & Development","Laboratory Technician","1","3","3","Travel_Rarely","1","2","3","5","3","2","No"
"34","6","Research & Development","Research Scientist","2","2","2","Travel_Rarely","1","3","3","1","0","0","No"
"37","3","Sales","Sales Executive","3","3","4","Travel_Rarely","0","3","3","5","3","3","No"
"34","5","Research & Development","Manager","3","2","1","Travel_Rarely","0","3","3","11","10","8","No"
"36","11","Sales","Sales Executive","3","3","4","Travel_Frequently","1","2","3","9","7","8","No"
"36","3","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","1","1","3","1","0","0","No"
"43","26","Sales","Manager","4","3","4","Travel_Frequently","2","3","4","25","12","12","No"
"30","23","Research & Development","Research Scientist","1","1","3","Travel_Frequently","3","1","3","10","7","9","No"
"33","22","Sales","Sales Executive","2","3","2","Non-Travel","1","3","3","7","7","7","No"
"56","14","Research & Development","Research Scientist","1","3","2","Travel_Rarely","3","2","3","5","4","3","Yes"
"51","6","Research & Development","Research Director","5","3","3","Travel_Rarely","0","1","3","20","18","15","No"
"31","6","Sales","Sales Executive","2","1","3","Travel_Rarely","0","2","2","7","7","7","Yes"
"26","6","Research & Development","Research Scientist","1","2","3","Travel_Rarely","0","3","2","5","4","3","No"
"58","23","Research & Development","Healthcare Representative","3","3","4","Travel_Rarely","1","4","2","40","10","6","Yes"
"19","22","Sales","Sales Representative","1","3","3","Travel_Rarely","0","4","2","0","0","0","Yes"
"22","2","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","1","3","3","2","1","1","No"
"49","20","Research & Development","Manufacturing Director","2","3","1","Travel_Rarely","0","3","2","15","11","11","No"
"43","28","Research & Development","Research Scientist","1","4","3","Travel_Frequently","0","2","3","3","2","2","No"
"50","12","Sales","Sales Executive","3","3","4","Travel_Frequently","0","3","3","2","2","1","No"
"31","20","Sales","Sales Executive","2","1","3","Travel_Rarely","1","2","3","2","2","2","Yes"
"41","9","Sales","Sales Executive","3","3","3","Travel_Rarely","1","3","3","9","7","7","No"
"26","25","Human Resources","Human Resources","1","3","3","Travel_Rarely","1","3","3","8","7","7","No"
"36","6","Research & Development","Manufacturing Director","2","3","2","Travel_Rarely","2","2","3","3","2","1","No"
"51","8","Research & Development","Manufacturing Director","3","1","4","Travel_Frequently","0","1","3","4","2","3","Yes"
"39","4","Sales","Sales Executive","2","2","3","Travel_Rarely","1","4","4","15","11","9","No"
"25","28","Sales","Sales Executive","2","2","3","Travel_Rarely","0","1","3","2","2","2","No"
"30","9","Human Resources","Human Resources","2","3","4","Travel_Rarely","0","3","1","11","9","7","No"
"32","9","Research & Development","Laboratory Technician","1","3","1","Travel_Rarely","0","1","4","5","4","4","Yes"
"45","29","Research & Development","Research Scientist","1","3","4","Travel_Rarely","0","3","2","6","5","3","No"
"38","3","Research & Development","Research Scientist","2","3","3","Travel_Rarely","0","4","3","3","2","2","No"
"30","18","Research & Development","Research Scientist","1","3","3","Travel_Rarely","0","1","2","5","4","4","No"
"32","7","Sales","Sales Executive","2","1","4","Travel_Frequently","3","4","4","8","7","7","No"
"30","5","Research & Development","Research Scientist","1","3","1","Travel_Rarely","1","4","3","3","2","2","No"
"30","7","Research & Development","Laboratory Technician","1","2","4","Travel_Rarely","0","2","3","5","3","2","No"
"41","10","Research & Development","Manager","4","2","1","Travel_Frequently","1","4","2","7","6","7","No"
"41","9","Research & Development","Laboratory Technician","1","3","1","Travel_Rarely","1","3","3","5","0","4","No"
"19","3","Research & Development","Laboratory Technician","1","3","2","Travel_Rarely","0","2","3","1","0","0","No"
"40","26","Research & Development","Research Scientist","2","3","2","Travel_Frequently","1","2","3","20","7","13","No"
"35","1","Sales","Sales Executive","3","3","2","Travel_Rarely","2","3","3","10","8","6","No"
"53","6","Sales","Sales Representative","2","3","3","Travel_Rarely","1","2","3","7","7","5","No"
"45","9","Research & Development","Laboratory Technician","2","3","2","Travel_Rarely","1","2","1","17","9","15","No"
"32","8","Sales","Sales Executive","3","3","4","Travel_Frequently","0","2","3","9","8","7","No"
"29","1","Research & Development","Manufacturing Director","2","3","3","Non-Travel","1","4","3","10","7","9","No"
"51","7","Research & Development","Manufacturing Director","2","2","3","Travel_Rarely","0","2","3","1","0","0","No"
"58","9","Research & Development","Research Scientist","1","2","2","Travel_Rarely","1","2","2","1","0","0","No"
"40","4","Sales","Sales Executive","3","2","4","Travel_Rarely","1","3","2","12","11","11","No"
"34","2","Sales","Sales Representative","1","3","3","Travel_Frequently","1","3","3","4","3","2","No"
"22","19","Research & Development","Research Scientist","1","3","4","Travel_Rarely","2","3","3","2","2","2","No"
"27","9","Research & Development","Research Scientist","1","3","2","Non-Travel","1","4","1","2","2","2","No"
"28","7","Research & Development","Research Scientist","1","3","4","Travel_Rarely","1","3","1","5","2","2","No"
"57","7","Research & Development","Healthcare Representative","3","4","4","Travel_Rarely","1","3","1","5","3","4","No"
"27","3","Research & Development","Research Scientist","1","2","3","Non-Travel","1","3","2","1","1","1","No"
"50","11","Research & Development","Manager","5","3","2","Travel_Rarely","0","3","3","5","4","4","No"
"41","14","Research & Development","Research Scientist","1","3","3","Travel_Rarely","1","1","3","9","8","8","No"
"30","5","Sales","Sales Executive","3","3","4","Travel_Rarely","1","2","3","10","9","4","No"
"38","1","Sales","Sales Executive","2","2","4","Travel_Rarely","0","1","4","8","3","7","No"
"32","6","Research & Development","Research Scientist","1","3","3","Travel_Rarely","0","3","3","5","4","4","No"
"27","17","Research & Development","Research Scientist","1","3","2","Travel_Rarely","1","3","3","5","2","1","No"
"19","1","Sales","Sales Representative","1","1","1","Travel_Frequently","0","3","4","0","0","0","Yes"
"36","3","Research & Development","Laboratory Technician","1","3","2","Travel_Frequently","0","4","2","8","7","2","No"
"30","9","Research & Development","Laboratory Technician","2","3","1","Non-Travel","2","3","3","12","9","10","No"
"45","4","Sales","Sales Executive","2","3","1","Travel_Rarely","1","3","4","5","4","3","No"
"56","8","Research & Development","Research Scientist","1","3","1","Travel_Rarely","1","3","3","2","2","2","No"
"33","2","Research & Development","Research Scientist","1","3","3","Travel_Rarely","0","3","4","3","1","2","No"
"19","2","Research & Development","Laboratory Technician","1","2","4","Travel_Rarely","0","2","2","1","0","0","Yes"
"46","1","Sales","Sales Executive","3","3","1","Travel_Rarely","3","2","3","24","13","7","No"
"38","9","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","0","3","3","2","2","1","No"
"31","12","Research & Development","Research Scientist","1","3","4","Travel_Rarely","1","3","3","4","2","2","No"
"34","27","Research & Development","Research Scientist","1","3","2","Travel_Rarely","0","4","3","3","2","2","No"
"41","20","Sales","Sales Representative","1","3","2","Travel_Rarely","0","2","3","4","3","2","Yes"
"50","1","Research & Development","Laboratory Technician","1","2","3","Travel_Rarely","1","3","2","3","2","2","No"
"53","13","Research & Development","Manufacturing Director","2","4","1","Travel_Rarely","2","4","3","4","2","3","No"
"33","14","Research & Development","Research Scientist","1","3","2","Travel_Rarely","1","4","3","8","7","6","No"
"40","4","Research & Development","Manager","5","3","3","Travel_Rarely","1","4","3","20","8","9","No"
"55","14","Research & Development","Research Director","5","4","2","Travel_Rarely","0","3","3","24","15","15","No"
"34","2","Research & Development","Manufacturing Director","2","2","3","Travel_Frequently","0","4","2","10","9","9","No"
"51","3","Research & Development","Healthcare Representative","4","3","2","Travel_Rarely","0","4","3","7","7","0","No"
"52","1","Research & Development","Manager","5","2","3","Travel_Rarely","1","3","3","33","18","9","No"
"27","9","Research & Development","Research Scientist","1","3","2","Travel_Rarely","0","4","2","7","7","3","No"
"35","23","Research & Development","Manufacturing Director","2","2","3","Travel_Rarely","0","2","3","1","0","1","Yes"
"43","7","Research & Development","Research Scientist","1","4","4","Non-Travel","3","4","4","5","4","2","No"
"45","2","Research & Development","Manager","4","2","4","Non-Travel","1","1","3","20","8","8","No"
"37","21","Research & Development","Research Scientist","1","4","1","Travel_Rarely","1","2","2","8","7","7","No"
"35","2","Research & Development","Laboratory Technician","2","3","2","Travel_Frequently","0","2","3","6","2","2","No"
"42","21","Research & Development","Manufacturing Director","2","3","3","Non-Travel","1","3","3","5","3","2","No"
"38","2","Research & Development","Manufacturing Director","2","3","3","Travel_Rarely","0","4","3","1","0","0","No"
"38","29","Research & Development","Manufacturing Director","2","3","4","Travel_Rarely","1","4","1","7","7","7","No"
"27","7","Research & Development","Manufacturing Director","2","2","1","Travel_Frequently","1","3","3","2","2","0","No"
"49","18","Research & Development","Manufacturing Director","2","3","4","Non-Travel","2","4","3","7","7","7","No"
"34","10","Research & Development","Research Scientist","1","3","3","Travel_Frequently","1","4","4","5","3","0","No"
"40","19","Research & Development","Laboratory Technician","2","3","4","Travel_Rarely","1","3","4","7","2","7","No"
"38","29","Research & Development","Healthcare Representative","2","3","1","Travel_Rarely","0","2","3","1","0","0","Yes"
"29","27","Sales","Sales Executive","3","3","4","Travel_Rarely","3","2","2","10","4","9","Yes"
"22","5","Research & Development","Research Scientist","1","4","2","Travel_Rarely","1","4","2","4","2","2","No"
"36","18","Research & Development","Laboratory Technician","1","3","4","Travel_Frequently","0","2","3","8","1","7","No"
"40","9","Research & Development","Healthcare Representative","2","2","4","Non-Travel","1","4","1","3","2","2","No"
"46","1","Research & Development","Healthcare Representative","3","3","1","Travel_Rarely","1","4","3","4","2","3","No"
"32","4","Sales","Sales Executive","3","1","4","Travel_Rarely","0","4","2","14","8","8","Yes"
"30","1","Research & Development","Manufacturing Director","3","2","3","Non-Travel","0","3","3","11","8","8","No"
"27","20","Sales","Sales Executive","2","3","3","Travel_Frequently","0","4","3","7","7","7","No"
"51","8","Research & Development","Research Director","3","2","2","Travel_Rarely","2","2","1","10","9","7","No"
"30","7","Research & Development","Research Scientist","1","3","3","Travel_Rarely","0","4","3","5","2","4","Yes"
"41","6","Sales","Manager","3","3","4","Travel_Rarely","0","4","3","1","0","0","No"
"30","26","Sales","Sales Executive","2","2","1","Travel_Frequently","0","3","2","6","3","1","Yes"
"29","1","Research & Development","Research Scientist","1","3","3","Travel_Rarely","0","3","2","6","2","5","Yes"
"45","6","Sales","Sales Executive","3","2","4","Non-Travel","0","4","3","19","7","8","No"
"54","3","Sales","Sales Executive","2","3","1","Travel_Rarely","1","4","3","6","2","5","No"
"36","5","Research & Development","Laboratory Technician","2","3","2","Travel_Rarely","0","4","4","13","11","7","No"
"33","4","Research & Development","Research Scientist","1","2","2","Travel_Rarely","0","3","3","3","2","1","No"
"37","11","Research & Development","Research Director","3","3","4","Travel_Frequently","3","2","3","10","8","7","No"
"38","3","Sales","Sales Executive","3","3","3","Travel_Rarely","2","1","2","16","10","13","No"
"31","1","Research & Development","Manufacturing Director","2","1","3","Non-Travel","1","3","3","5","4","4","No"
"59","3","Research & Development","Research Scientist","1","2","4","Travel_Rarely","1","3","3","1","0","0","No"
"37","4","Sales","Sales Representative","1","3","4","Travel_Frequently","1","1","3","9","8","8","No"
"29","1","Sales","Sales Executive","3","3","4","Travel_Frequently","1","2","3","11","10","1","No"
"35","1","Sales","Sales Executive","3","3","3","Travel_Frequently","0","3","4","10","7","8","No"
"29","18","Research & Development","Research Scientist","1","2","4","Travel_Rarely","0","3","2","4","3","1","Yes"
"52","2","Research & Development","Laboratory Technician","1","2","4","Travel_Rarely","0","3","2","2","2","2","No"
"42","4","Research & Development","Manager","5","3","4","Travel_Rarely","0","3","3","22","17","15","No"
"59","6","Human Resources","Human Resources","1","3","3","Travel_Rarely","0","2","2","2","2","2","No"
"50","1","Sales","Manager","5","3","3","Travel_Rarely","1","4","2","7","0","6","No"
"33","14","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","1","3","1","5","4","4","Yes"
"43","16","Sales","Manager","4","3","4","Travel_Rarely","1","4","3","17","13","9","No"
"33","2","Research & Development","Laboratory Technician","1","3","1","Travel_Rarely","0","1","4","9","7","7","Yes"
"52","2","Sales","Manager","5","2","3","Non-Travel","0","1","4","33","7","12","No"
"32","4","Sales","Sales Representative","1","3","2","Travel_Rarely","1","3","3","4","3","2","No"
"32","1","Research & Development","Laboratory Technician","1","2","3","Travel_Rarely","0","4","1","3","2","2","Yes"
"39","1","Research & Development","Laboratory Technician","1","3","3","Travel_Rarely","3","3","3","3","2","2","No"
"32","26","Sales","Sales Executive","2","3","4","Non-Travel","0","3","3","3","2","2","No"
"41","19","Research & Development","Research Scientist","2","3","1","Travel_Rarely","2","3","2","1","0","0","No"
"40","24","Research & Development","Research Scientist","2","3","4","Travel_Rarely","2","1","3","9","8","7","No"
"45","7","Research & Development","Manager","5","4","4","Travel_Rarely","1","3","3","24","0","7","No"
"31","3","Research & Development","Research Director","3","3","3","Travel_Frequently","1","2","3","2","2","2","No"
"33","5","Research & Development","Research Scientist","1","2","4","Travel_Rarely","1","3","2","2","2","2","No"
"34","2","Research & Development","Manufacturing Director","2","2","1","Travel_Rarely","1","4","3","11","9","9","No"
"37","1","Research & Development","Research Scientist","1","2","1","Travel_Rarely","1","3","2","3","1","2","No"
"45","7","Research & Development","Manufacturing Director","2","4","3","Travel_Frequently","1","1","3","3","2","2","No"
"37","10","Research & Development","Manufacturing Director","3","3","3","Travel_Frequently","2","1","3","1","0","0","Yes"
"39","2","Research & Development","Healthcare Representative","3","3","3","Travel_Frequently","0","3","3","19","6","8","No"
"29","15","Research & Development","Research Scientist","1","3","4","Travel_Rarely","0","3","3","6","5","5","No"
"42","17","Research & Development","Research Scientist","2","4","1","Travel_Rarely","0","4","3","3","2","2","No"
"29","20","Sales","Sales Executive","2","3","4","Travel_Rarely","1","4","3","3","2","2","No"
"25","1","Research & Development","Manufacturing Director","2","3","3","Travel_Rarely","2","1","3","4","2","2","No"
"42","2","Research & Development","Laboratory Technician","1","2","1","Travel_Rarely","1","4","3","9","6","8","No"
"40","2","Research & Development","Research Director","5","3","3","Travel_Rarely","1","1","3","21","7","9","No"
"51","1","Research & Development","Research Scientist","1","3","4","Travel_Rarely","0","3","2","1","0","0","No"
"31","29","Research & Development","Laboratory Technician","1","2","2","Travel_Frequently","0","3","4","5","4","4","Yes"
"32","7","Research & Development","Laboratory Technician","1","4","2","Travel_Frequently","0","2","3","5","1","3","No"
"38","2","Sales","Sales Executive","2","2","4","Non-Travel","1","4","3","8","7","5","No"
"32","2","Research & Development","Laboratory Technician","2","2","1","Travel_Rarely","0","4","3","6","2","4","No"
"46","2","Sales","Manager","4","1","2","Travel_Rarely","1","3","2","7","7","7","No"
"28","2","Research & Development","Laboratory Technician","1","3","3","Travel_Rarely","0","1","1","0","0","0","Yes"
"29","2","Sales","Sales Executive","2","2","2","Travel_Rarely","2","1","3","0","0","0","No"
"31","23","Research & Development","Healthcare Representative","2","2","4","Travel_Rarely","1","2","3","9","0","8","No"
"25","5","Research & Development","Healthcare Representative","2","4","1","Non-Travel","2","2","3","6","3","5","No"
"45","20","Research & Development","Healthcare Representative","4","3","4","Travel_Rarely","0","3","3","20","7","10","No"
"36","6","Research & Development","Laboratory Technician","1","3","4","Travel_Rarely","1","4","3","15","13","11","No"
"55","1","Research & Development","Manager","5","3","1","Travel_Rarely","0","4","3","36","10","13","No"
"47","29","Research & Development","Manager","3","3","2","Non-Travel","1","1","2","10","7","9","Yes"
"28","9","Research & Development","Research Scientist","1","3","4","Travel_Rarely","1","4","2","5","2","4","No"
"37","6","Sales","Sales Executive","2","3","4","Travel_Rarely","1","3","4","5","4","1","No"
"21","3","Research & Development","Research Scientist","1","2","3","Travel_Rarely","0","4","4","3","2","0","No"
"37","1","Research & Development","Research Director","3","3","4","Non-Travel","2","1","3","5","2","2","No"
"35","22","Research & Development","Manager","3","4","2","Travel_Rarely","1","2","2","7","7","2","No"
"38","7","Sales","Sales Executive","2","4","1","Travel_Rarely","1","1","3","8","0","7","No"
"26","1","Research & Development","Manufacturing Director","2","3","2","Travel_Frequently","1","3","1","6","5","4","No"
"50","7","Research & Development","Research Director","5","3","2","Travel_Rarely","2","1","2","10","4","6","No"
"53","3","Research & Development","Research Director","4","3","3","Travel_Rarely","3","3","2","5","3","3","No"
"42","1","Sales","Sales Executive","2","3","3","Travel_Rarely","0","2","3","20","16","6","No"
"29","2","Sales","Sales Executive","2","3","4","Travel_Frequently","0","2","2","10","7","9","No"
"55","20","Research & Development","Laboratory Technician","2","3","4","Travel_Rarely","1","2","3","10","7","8","No"
"26","11","Research & Development","Healthcare Representative","2","3","1","Travel_Frequently","1","1","3","5","3","3","No"
"37","1","Research & Development","Research Scientist","1","3","4","Travel_Rarely","0","4","3","17","12","7","No"
